name,link,score,comment,lowest_price,stress
"
                炉端とおでん 呼炉凪来 金沢駅前店
              ",https://tabelog.com/ishikawa/A1701/A170101/17014669/,3.13,"
              
                口コミ 99 人              
            ","￥2,000",石川県金沢市堀川新町2-48 サンファーストビル 3F
"
                金澤じんや
              ",https://tabelog.com/ishikawa/A1701/A170101/17007698/,3.24,"
              
                口コミ 24 人              
            ","￥8,000",石川県金沢市尾山町12-1 
"
                花より魚
              ",https://tabelog.com/ishikawa/A1701/A170101/17015249/,3.03,"
              
                口コミ 1 人              
            ","￥2,000",石川県金沢市片町2-3-2 味ビル B1F
"
                割烹 むら井
              ",https://tabelog.com/ishikawa/A1701/A170101/17000494/,3.4,"
              
                口コミ 136 人              
            ","￥8,000",石川県金沢市香林坊2-12-15 
"
                COIL
              ",https://tabelog.com/ishikawa/A1701/A170101/17011442/,3.43,"
              
                口コミ 186 人              
            ","￥2,000",石川県金沢市袋町1-1 かなざわはこまち 2F
"
                全席完全個室居酒屋 和ノ音 金沢駅前店
              ",https://tabelog.com/ishikawa/A1701/A170101/17014237/,3.35,"
              
                口コミ 71 人              
            ","￥3,000",石川県金沢市堀川新町2-53 セントラルアークビル 4F
"
                restaurant ecoutieres
              ",https://tabelog.com/ishikawa/A1701/A170101/17013984/,3.15,"
              
                口コミ 14 人              
            ","￥20,000",石川県金沢市北安江2-7-31 
"
                和食郷土料理 いち凛 金沢本店
              ",https://tabelog.com/ishikawa/A1701/A170101/17013249/,3,"
              
                口コミ 8 人              
            ","￥3,000",石川県金沢市片町1-7-23 金劇パシオン 2F
"
                barrier
              ",https://tabelog.com/ishikawa/A1701/A170101/17014075/,3.21,"
              
                口コミ 29 人              
            ","￥6,000",石川県金沢市尾張町2-14-21 
"
                一誠
              ",https://tabelog.com/ishikawa/A1701/A170101/17015151/,3.03,"
              
                口コミ 5 人              
            ","￥15,000",石川県金沢市安江町13-7 
"
                旬魚季菜 とと桜
              ",https://tabelog.com/ishikawa/A1701/A170101/17005289/,3.54,"
              
                口コミ 329 人              
            ","￥5,000",石川県金沢市片町2-5-5 
